"YYYY-MM-DD ","HH:MM (LST) ","Zenith (deg) ","ETR (Wh/m^2) "
"1/1/2010","1:00","99.0 ","0"
"1/1/2010","2:00","99.0 ","0"
"1/1/2010","3:00","99.0 ","0"
"1/1/2010","4:00","99.0 ","0"
"1/1/2010","5:00","99.0 ","0"
"1/1/2010","6:00","99.0 ","0"
"1/1/2010","7:00","99.0 ","0"
"1/1/2010","8:00","89.1 ","5"
"1/1/2010","9:00","83.3 ","164"
"1/1/2010","10:00","74.6 ","376"
"1/1/2010","11:00","67.5 ","540"
"1/1/2010","12:00","62.9 ","645"
"1/1/2010","13:00","61.1 ","683"
"1/1/2010","14:00","62.6 ","652"
"1/1/2010","15:00","67.0 ","553"
"1/1/2010","16:00","73.8 ","394"
"1/1/2010","17:00","82.4 ","186"
"1/1/2010","18:00","88.6 ","11"
"1/1/2010","19:00","99.0 ","0"
"1/1/2010","20:00","99.0 ","0"
"1/1/2010","21:00","99.0 ","0"
"1/1/2010","22:00","99.0 ","0"
"1/1/2010","23:00","99.0 ","0"
"1/1/2010","24:00:00","99.0 ","0"
"1/2/2010","1:00","99.0 ","0"
"1/2/2010","2:00","99.0 ","0"
"1/2/2010","3:00","99.0 ","0"
"1/2/2010","4:00","99.0 ","0"
"1/2/2010","5:00","99.0 ","0"
"1/2/2010","6:00","99.0 ","0"
"1/2/2010","7:00","99.0 ","0"
"1/2/2010","8:00","89.0 ","5"
"1/2/2010","9:00","83.3 ","164"
"1/2/2010","10:00","74.6 ","376"
"1/2/2010","11:00","67.5 ","541"
"1/2/2010","12:00","62.8 ","647"
"1/2/2010","13:00","61.0 ","685"
"1/2/2010","14:00","62.5 ","654"
"1/2/2010","15:00","66.9 ","556"
"1/2/2010","16:00","73.7 ","397"
"1/2/2010","17:00","82.3 ","189"
"1/2/2010","18:00","88.5 ","12"
"1/2/2010","19:00","99.0 ","0"
"1/2/2010","20:00","99.0 ","0"
"1/2/2010","21:00","99.0 ","0"
"1/2/2010","22:00","99.0 ","0"
"1/2/2010","23:00","99.0 ","0"
"1/2/2010","24:00:00","99.0 ","0"
"1/3/2010","1:00","99.0 ","0"
"1/3/2010","2:00","99.0 ","0"
"1/3/2010","3:00","99.0 ","0"
"1/3/2010","4:00","99.0 ","0"
"1/3/2010","5:00","99.0 ","0"
"1/3/2010","6:00","99.0 ","0"
"1/3/2010","7:00","99.0 ","0"
"1/3/2010","8:00","89.0 ","5"
"1/3/2010","9:00","83.4 ","164"
"1/3/2010","10:00","74.6 ","376"
"1/3/2010","11:00","67.5 ","542"
"1/3/2010","12:00","62.7 ","648"
"1/3/2010","13:00","60.9 ","687"
"1/3/2010","14:00","62.3 ","657"
"1/3/2010","15:00","66.7 ","559"
"1/3/2010","16:00","73.6 ","400"
"1/3/2010","17:00","82.2 ","193"
"1/3/2010","18:00","88.5 ","13"
"1/3/2010","19:00","99.0 ","0"
"1/3/2010","20:00","99.0 ","0"
"1/3/2010","21:00","99.0 ","0"
"1/3/2010","22:00","99.0 ","0"
"1/3/2010","23:00","99.0 ","0"
"1/3/2010","24:00:00","99.0 ","0"
"1/4/2010","1:00","99.0 ","0"
"1/4/2010","2:00","99.0 ","0"
"1/4/2010","3:00","99.0 ","0"
"1/4/2010","4:00","99.0 ","0"
"1/4/2010","5:00","99.0 ","0"
"1/4/2010","6:00","99.0 ","0"
"1/4/2010","7:00","99.0 ","0"
"1/4/2010","8:00","89.0 ","5"
"1/4/2010","9:00","83.3 ","164"
"1/4/2010","10:00","74.5 ","377"
"1/4/2010","11:00","67.4 ","543"
"1/4/2010","12:00","62.7 ","650"
"1/4/2010","13:00","60.8 ","690"
"1/4/2010","14:00","62.2 ","660"
"1/4/2010","15:00","66.6 ","562"
"1/4/2010","16:00","73.4 ","404"
"1/4/2010","17:00","82.0 ","196"
"1/4/2010","18:00","88.4 ","14"
"1/4/2010","19:00","99.0 ","0"
"1/4/2010","20:00","99.0 ","0"
"1/4/2010","21:00","99.0 ","0"
"1/4/2010","22:00","99.0 ","0"
"1/4/2010","23:00","99.0 ","0"
"1/4/2010","24:00:00","99.0 ","0"
"1/5/2010","1:00","99.0 ","0"
"1/5/2010","2:00","99.0 ","0"
"1/5/2010","3:00","99.0 ","0"
"1/5/2010","4:00","99.0 ","0"
"1/5/2010","5:00","99.0 ","0"
"1/5/2010","6:00","99.0 ","0"
"1/5/2010","7:00","99.0 ","0"
"1/5/2010","8:00","89.0 ","5"
"1/5/2010","9:00","83.3 ","164"
"1/5/2010","10:00","74.5 ","377"
"1/5/2010","11:00","67.4 ","544"
"1/5/2010","12:00","62.6 ","652"
"1/5/2010","13:00","60.7 ","692"
"1/5/2010","14:00","62.1 ","662"
"1/5/2010","15:00","66.4 ","565"
"1/5/2010","16:00","73.3 ","407"
"1/5/2010","17:00","81.9 ","200"
"1/5/2010","18:00","88.3 ","15"
"1/5/2010","19:00","99.0 ","0"
"1/5/2010","20:00","99.0 ","0"
"1/5/2010","21:00","99.0 ","0"
"1/5/2010","22:00","99.0 ","0"
"1/5/2010","23:00","99.0 ","0"
"1/5/2010","24:00:00","99.0 ","0"
"1/6/2010","1:00","99.0 ","0"
"1/6/2010","2:00","99.0 ","0"
"1/6/2010","3:00","99.0 ","0"
"1/6/2010","4:00","99.0 ","0"
"1/6/2010","5:00","99.0 ","0"
"1/6/2010","6:00","99.0 ","0"
"1/6/2010","7:00","99.0 ","0"
"1/6/2010","8:00","89.0 ","5"
"1/6/2010","9:00","83.3 ","164"
"1/6/2010","10:00","74.5 ","378"
"1/6/2010","11:00","67.3 ","546"
"1/6/2010","12:00","62.5 ","653"
"1/6/2010","13:00","60.6 ","694"
"1/6/2010","14:00","61.9 ","665"
"1/6/2010","15:00","66.3 ","569"
"1/6/2010","16:00","73.1 ","411"
"1/6/2010","17:00","81.7 ","204"
"1/6/2010","18:00","88.3 ","17"
"1/6/2010","19:00","99.0 ","0"
"1/6/2010","20:00","99.0 ","0"
"1/6/2010","21:00","99.0 ","0"
"1/6/2010","22:00","99.0 ","0"
"1/6/2010","23:00","99.0 ","0"
"1/6/2010","24:00:00","99.0 ","0"
"1/7/2010","1:00","99.0 ","0"
"1/7/2010","2:00","99.0 ","0"
"1/7/2010","3:00","99.0 ","0"
"1/7/2010","4:00","99.0 ","0"
"1/7/2010","5:00","99.0 ","0"
"1/7/2010","6:00","99.0 ","0"
"1/7/2010","7:00","99.0 ","0"
"1/7/2010","8:00","89.0 ","5"
"1/7/2010","9:00","83.3 ","165"
"1/7/2010","10:00","74.4 ","379"
"1/7/2010","11:00","67.2 ","547"
"1/7/2010","12:00","62.4 ","656"
"1/7/2010","13:00","60.5 ","697"
"1/7/2010","14:00","61.8 ","669"
"1/7/2010","15:00","66.1 ","572"
"1/7/2010","16:00","72.9 ","415"
"1/7/2010","17:00","81.6 ","207"
"1/7/2010","18:00","88.2 ","18"
"1/7/2010","19:00","99.0 ","0"
"1/7/2010","20:00","99.0 ","0"
"1/7/2010","21:00","99.0 ","0"
"1/7/2010","22:00","99.0 ","0"
"1/7/2010","23:00","99.0 ","0"
"1/7/2010","24:00:00","99.0 ","0"
"1/8/2010","1:00","99.0 ","0"
"1/8/2010","2:00","99.0 ","0"
"1/8/2010","3:00","99.0 ","0"
"1/8/2010","4:00","99.0 ","0"
"1/8/2010","5:00","99.0 ","0"
"1/8/2010","6:00","99.0 ","0"
